ca_pa,status,raise_date,target_date,audit,source,ower,deatails,root_cause_details,root_cause_completed_by,root_cause_target_date,root_cause_closed_date,corrective_action_details,corrective_action_completed_by,corrective_action_target_date,corrective_action_closed_date,preventive_action_details,preventive_action_completed_by,preventive_action_target_date,preventive_action_closed_date,follow_up_details,follow_up_completed_by,follow_up_target_date,follow_up_closed_date,accesptance_action_details,accesptance_action_completed_by,accesptance_action_target_date,accesptance_action_closed_date,implementing_action_details,implementing_action_completed_by,implementing_action_target_date,implementing_action_closed_date,
CA/PA-381,Closed,5/16/2023,10/6/2023,AUD390 - AOC Certification / Recertification AZAL,AZANS Audit/Inspection,"AZAL, Auditee","Hava gəmisinin uçuşqabağı (Cabin Ramp inspection E190 VP-BRV) və uçuş heyətinin uçuşda (Cabin Enroute inspection A320 4K- AZ78) yoxlanması zamanı aşağıdakılar müəyyən olunmuşdur.
Cabin Crew Handbook CCH Part(A), yenilənmiş rəhbər sənədlər bütün heyət üzvlərinə daxili prosedurlara əsasən çatdırılmışdır. Yoxlama zamanı uçuşu yerinə yetirən heyət bu dəyişikliklər barədə məlumata malik deyildi.
Bir sıra sərnişin təhlükəsizlik kəmərləri, təyyarə bələdçisi oturacağının təhlükəsizlik kəməri və bələdçi üçün xüsusi ayrılmış oturacağın yuxarı dəri parçası zədələnmiş vəziyyətdədir. Ekipaj üzvlərinin hava gəmisində əl çantaları üçün xüsusi ayrılmış yer təyin edilməmişdir (yoxlama vərəqi əlavə olunur).","Human factor - irresponsibility of the cabin crew personnel, lack of attention to changes within SOPs, weak management control.","Huseynov, Mahammad",,4/7/2025,"1) Related personnel will undergo appropriate requalification training.
2) Special bulletin regarding the topic will be issued and duly disseminated for attention of all cabin crew members.
3) ""New document familiarization via ""Meridian"" control process will be added to new revision of the CCH-A and appropriately shared on ""need-to-know"" basis after approval by the SCAA.","Huseynov, Mahammad",,,"""New document familiarization via ""Meridian"" control process will be added to the CCH-A and duly disseminated among related personnel after respective approval of the manual by the SCAA.","Huseynov, Mahammad",,,"The evidences are attached in properties.
The follow up has done ,discrepancies were eliminated","Murtuzov, Salman",2/17/2024,2/21/2024,"The evidences were received, follow up required,   to be checked on side.15.02.2024","Murtuzov, Salman",10/6/2023,2/15/2024,"Bulletin #757 was released to highlight the importance of familarisation with latest updates of the necessary documents.
Requalification training was conducted for relevant cabin crew members.
Mentioned technical issues was fixed.","AZAL, Auditee",2/13/2024 15:00,2/21/2024,
CA/PA-382,Closed,5/16/2023,10/22/2024,AUD390 - AOC Certification / Recertification AZAL,AZAL Audit/Inspection,"AZAL, Auditee","Aviaşirkət tələblərə uyğunluğu nümayiş etdirə bilməmişdir, bununla bağlı şöbə və məsul şəxslər müəyyən edilməmişdir, mövcud sistem tələblərə tam cavab vermir (isitinad – AAR-OPS1 15.5.1 Appendix 1 to Document Storage Periods (1.1065).","Misunderstanding during the audit related to documentation part of the issue, practical part was related to organizational weakness within the department.","Huseynov, Mahammad",,4/7/2025,"1) Regarding the topic special bulletin will be issued and duly disseminated on ""need-to-know"" basis.
2) Persons will be appointed to enhance control over storage of training records.
3) Special locker will be purchased for proper preservation of training-related documentation.","Huseynov, Mahammad",,,"1) Regarding the topic special bulletin will be issued and duly disseminated on ""need-to-know"" basis.
2) Persons will be appointed to enhance control over storage of training records.
3) Special locker will be purchased for proper preservation of training-related documentation.","Huseynov, Mahammad",,,,"Abdinov, Ruslan N.",10/22/2024,4/10/2025,,"Aliyev, Said",10/4/2023,2/21/2024,Filing cabinets have been implemented. Pictures attached.,"AZAL, Auditee",9/24/2024,9/24/2024,
CA/PA-383,Closed,5/16/2023,10/6/2023,AUD390 - AOC Certification / Recertification AZAL,AZAL Audit/Inspection,"AZAL, Auditee","Keyfiyyətə nəzarət üzrə mütəxəssislərə (o cümlədən auditorlara) ORO.GEN.200, AMC1 ORO.GEN.200(a)(6)(e) və Keyfiyyət üzrə Təlimat ( Nəşr 10, Reviziya 02, fəsil 4.2.2.) sənədlərinin tələblərinə uyğun olaraq təlimlərin keçirilməsinə dair sübutedici sənədlər təqdim edilməyib (istinad- ORO.GEN.200, AMC1 ORO.GEN.200(a)(6)(e) və Keyfiyyət üzrə Təlimat (Nəşr 10, Reviziya 02, fəsil 4.2.2.) sənədlərinin tələblərinə uyğun olaraq).
(No evidence could be provided that training on the operator's specific training content for quality assurance staff (including auditors) has been completed by the personnel concerned. Legal reference: ORO.GEN.200 in connection withAMC1 ORO.GEN.200(a)(6) (e) and Quality Manual (Edition 10, Revision 02, chapter 4.2.2).",Misunderstanding during the audit. Actually all requested certificates had been printed and displayed to the auditors during the examination of the airline.,"Huseynov, Mahammad",,4/7/2025,Related certificates will be again sent to the SCAA.,"Huseynov, Mahammad",,,"Coordination with the SCAA during audits and inspections to be enhanced. It is suggested that a) closing meeting to be held at the end of each audit day in order to highlight summary of the examination day and spotlight on ""open"" and/or arguable issues and b) each auditor of the SCAA to be accompanied by respective personnel of the Quality Department of the AZAL PAC.","Huseynov, Mahammad",,,,"Aliyev, Said",10/6/2023,2/21/2024,,"Aliyev, Said",10/6/2023,12/20/2023,Evidence attached,"AZAL, Auditee",2/5/2024,2/6/2024,
CA/PA-384,Closed,5/16/2023,3/13/2024,AUD390 - AOC Certification / Recertification AZAL,AZAL Audit/Inspection,"AZAL, Auditee","“Heydər Əliyev” Beynəlxalq Aeroportunda sərnişinlərin qeydiyyatını aparan “ASG - Ground Handling Company” (ASG- GHC) personalı ilə təhlükəli yüklərin sərnişinlər tərəfindən daşınması ilə bağlı sorğu- sual zamanı müəyyən edilmişdir ki, tələblər aviaşirkət tərəfindən müvafiq formada təqdim olunmayıb.","Lack of responsibility of the personnel of the ground handling service provider. In general, weakness of control and influence measures from the side of the J2.","Huseynov, Mahammad",,4/7/2025,"1) Special bulletin will be issued for attention of the personnel of the ground handling provider at the GYD.
2) It will be ensured that ""ASG"" prepares relevant ""Attendance sheet"" as evidence that all involved personnel got aware of new procedures contained in the last revision of the GOM and sent last 2 bulletins.
3) Procedure regarding proper document dissemination and acknowledgement to be added to the ""Quality Manual"" (QM) of the airline and, after its approval by the SCAA, to be disseminated to all involved personnel.","Huseynov, Mahammad",,,"1) Procedure regarding documentation dissemination and acknowledgement by addresses to be amended in the QM of the airline.
2) Use of special checklist prepared for this purpose will be enhanced, and it will be used on constant basis.","Huseynov, Mahammad",,,,"Pashayev, Fidel",10/4/2023,4/19/2024,Please provide procedures and special check-list specified in Preventive action.,"Pashayev, Fidel",10/4/2023,3/15/2024,Evidences attached.,"AZAL, Auditee",4/19/2024,4/19/2024,
CA/PA-385,Closed,5/16/2023,10/6/2023,AUD390 - AOC Certification / Recertification AZAL,AZAL Audit/Inspection,"AZAL, Auditee","“Check Airman program”. Yoxlama uçuşlarını aparan pilotlar proqramının təsdiq edilmədiyi müəyyən edilmişdir. Araşdırma zamanı məlum olmuşdur ki, proqram “Q-Pulse” vasitəsilə düzəliş edilməsi üçün aviaşirkətə qaytarılmışdır. “Q-Pulse” sistemində sənədlərin təsdiqlənməsi prosesinə Keyfiyyətə nəzarət şöbəsi tərəfindən nəzarət olunmur.","Misunderstanding during the audit. Approved version of the required document was found later in the ""Q-Pulse"" software.","Huseynov, Mahammad",,4/18/2025,N/A.,"Huseynov, Mahammad",,,N/A.,"Huseynov, Mahammad",,,,"Aliyev, Said",10/6/2023,2/21/2024,,"Aliyev, Said",10/6/2023,12/20/2023,Evidence attached,"AZAL, Auditee",2/5/2024,2/6/2024,
CA/PA-386,Closed,5/16/2023,1/22/2024,AUD390 - AOC Certification / Recertification AZAL,AZAL Audit/Inspection,"AZAL, Auditee",OM(A)-nın 1.1-ci fəslinə daxil edilmiş təşkilatın strukturu əməliyyat baxımından müvafiq məsuliyyət xətlərini aydın şəkildə əhatə etmir və buna görə də ORO.MLR.100(k)-yə uyğun olaraq insan amili prinsiplərinə tam əməl edilmir (istinad – ORO.MLR.100(k)).,Human factor - while creating organizational chart it seemed to its creators that all lines of accountability are clearly addressed.,"Huseynov, Mahammad",,4/7/2025,"The organizational chart will be amended, however, the issue is on standby, as the org. structure is planned to be totally changed in the result of work of the IATA Consulting.","Huseynov, Mahammad",,,"More close work with regulatory documents, as well as their precise understanding, are planned to be strengthened in the future. ","Huseynov, Mahammad",,,closed,"Abdullayev, Emil",10/6/2023,4/10/2025,,"Aliyev, Said",10/6/2023,12/20/2023,"Operational Manual Part A Edition 13 was published, updated organization chart extracted from the manual attached.","AZAL, Auditee",1/22/2024,9/25/2024,
CA/PA-451,Closed,8/4/2023,8/7/2023,None,AZAL Audit/Inspection,"AZAL, Auditee","17(a)ii The 1Rdoor observe window   is crusted. there is no visibility . In case of emergency evacuation the possibility to allocate more safety disembarkation impossible .According to the internal procedures described in ""Cabin Crew Handbook   Part A""  Ch 13.13;13.27, the observe window tp be replaced.",Insufficient control over TCOD items.,"AZAL, Auditee",8/7/2023,4/7/2025,NRC has been provided to resolve this issue.,"AZAL, Auditee",8/7/2023,,Control by CAMO Planning staff over all TCO points has been strengthened. Periodic checks of the aircraft and logbook are carried out to determine the status by CAMO Planning staff. ,"AZAL, Auditee",8/7/2023,,CA/PA CLOSED,"Murtuzov, Salman",11/9/2023,10/2/2024,CA/PA Accepted,"Murtuzov, Salman",8/8/2023,9/26/2024,Non routine card 164982 is attached. ,"AZAL, Auditee",11/8/2023,9/27/2024,
CA/PA-402,Closed,1/24/2023,3/2/2023,AUD339 - AZAL Cabin En-Route Inspection Airbus 320,AZAL Audit/Inspection,"AZAL, Auditee","4(a) At row 2A;Clife west label is torn and the seat belt label is missing.
21 The passenger service unit (PSU) at rows 19H:K:L and row 26H;K;L are out of service .Defect is not recorded.",Lack of supervision and control from Cabin Crew.,"AZAL, Auditee",5/21/2024,4/7/2025,"WO for Placard Replacement will be performed.
Other labels will be ordered. Labels will be replaced in first opportunity after purchasing.
A bulletin will be issued and published about aircraft inspection details and cabin crew responsibilities on logging defects.","AZAL, Auditee",6/7/2024,,"A bulletin will be issued and published about aircraft inspection details and cabin crew responsibilities on logging defects. 
SWT management and technicians will be informed to eliminate defects timely.","AZAL, Auditee",4/26/2024,,"During the Cabin Ramp Inspection follow-up, the inspectors observed that all discrepancies had been eliminated on this aircraft. The A320 aircraft engineer was presented as a witness.","Murtuzov, Salman",6/6/2023,9/24/2024,,"Murtuzov, Salman",3/3/2023,6/20/2024,"1.A bulletin issued and published about aircraft inspection details and cabin crew responsibilities on logging defects on 25.07.2023 The bulletin is attached. 
2. WO GD 00376642 for PSU Replacement and WO GD 00380878 for Placard Replacement were performed.(see attachments)
Other labels were ordered.(part request is attached)
3.. Evidence related to communication between AZAL & SWT about defect elimination is attached.","Murtuzov, Salman",9/23/2024,9/23/2024,
CA/PA-403,Closed,1/27/2023,3/2/2023,AUD340 - Cabin Ramp Inspection Boieng 787 VP-BBS,AZAL Audit/Inspection,"AZAL, Auditee","(14) 24;25;26A,B,C Monitors (PSU) passengers service unit are not serviceable ,no evidence of identification nor monitoring of the defect .",Human factor,"AZAL, Auditee",3/2/2023,4/7/2025,Mentioned monitors will be repaired.,"AZAL, Auditee",3/2/2023,,Control over monitoring and recording of such defects will be enhanced. ,"AZAL, Auditee",3/2/2023,,The Follow Up has been performed . The findings were eliminated.,"Murtuzov, Salman",2/14/2024,4/24/2024,The evidence of the repaired monitors to be provided.,"Murtuzov, Salman",2/13/2024,4/19/2024,The evidence of the repaired monitors to be provided.,"Murtuzov, Salman",2/13/2024,4/22/2024,
CA/PA-424,Closed,7/4/2023,12/5/2023,"AUD364 - Azerbaijan Airlines (CAMO-001), CAMO Audit (full scope)",AZAL Audit/Inspection,"Nasirov, Namig","M.710. 
(a) The Airworthiness Review Report checklist provided with the ACAM data for 4K-AZ03, specifically number AHY 006/2023, was found to lack sufficient guidance regarding the assessments required to satisfactorily address each item.
(b) It was observed that the check items on the Airworthiness Review Report did not have recorded evidence indicating what was specifically assessed by the AZAL Airworthiness Review staff. Each item merely stated ""Checked OK"" or ""Found OK"" without providing further details regarding the assessment of documents and physical surveys.
(c) It was noted that the Airworthiness Review Reports failed to record the individuals or personnel who supported the physical inspections, such as B1 personnel responsible for tasks like opening hatches or removing cowls. This omission is not in compliance with the requirements specified in M.A.901(l).",a) b) c) incomplete understanding of the requirements of AAR-CAMO due to the lack of appropriate training on the subject of mandatory courses for airworthiness review staff. ,"AZAL, Auditee",8/31/2023,4/7/2025,"a), b), c) The appropriate training will be provided. The airworthiness review report Form 01/034  will be reviewed and modified. A procedure will be created for the ARC employees, which will describe the entire work process, in particular, the rules for filling out and submitting AR report. Will be performed within next 3 months.","AZAL, Auditee",8/31/2023,,"a), b), c) periodic verification by the quality department of the airworthiness review report for the correctness of filling.","AZAL, Auditee",8/31/2023,,None,None,None,None,Accepted.,"Yusifli, Fuad",8/31/2023,9/5/2023,Will be checked during next audit,"Nasirov, Namig",12/5/2023,11/29/2024,
CA/PA-425,Closed,7/4/2023,8/31/2023,"AUD364 - Azerbaijan Airlines (CAMO-001), CAMO Audit (full scope)",AZAL Audit/Inspection,"Nasirov, Namig","M.711(a)(3). 
AZAL operates a small fleet of Cessna C172s under its CAMO approval. The responsibility for the continuing airworthiness management of these aircraft is subcontracted to ASG Helicopter Services. The records of these aircraft are maintained through a system called AMS. However, during the audit, it was not demonstrated that AZAL has direct access to the AMS portal, which is responsible for controlling the airworthiness status and records of the C172s. As a result, AZAL relies on information provided by the subcontractor and does not have full real-time access to the status of its aircraft. Additionally, the CAME does not specify how AZAL exercises airworthiness control over the aircraft through its subcontractor.",The absence of a clause in the current contract between AZAL and ASG Helicopter providing the operator with access to the AMS system.,"AZAL, Auditee",8/31/2023,4/7/2025,Update the current revision of the agreement between AZAL & ASG Helicopters. Create a Joint procedure manual between AZAL & ASG Helicopters for AAR-145 and AAR-CAMO support. ,"AZAL, Auditee",8/31/2023,,"Monthly status check Statuses (for example, AD/SB, LLP) by AZAL CAMO staff in the AMS system.","AZAL, Auditee",8/31/2023,,None,None,None,None,Accepted.,"Yusifli, Fuad",8/31/2023,2/5/2024,"Three AMS account provided to AZAL by ASG HS.
Will be taking into account during next audit","Nasirov, Namig",3/29/2024,11/29/2024,
CA/PA-426,Closed,7/4/2023,12/5/2023,"AUD364 - Azerbaijan Airlines (CAMO-001), CAMO Audit (full scope)",AZAL Audit/Inspection,"Nasirov, Namig","M.712(a). 
(a) Upon reviewing the AZAL Quality plan for 2022/23, it was observed that only one CAW (Continuing Airworthiness) audit and one AMO (Approved Maintenance Organization) audit, specifically for Silk Way Technics, were conducted in the past year. There was no evidence of audits being conducted for subcontracted activities or remote line stations located in other states.
(b) It was noted that the CAMO audit checklist used by AZAL did not adequately cover the requirements of the Airworthiness review process as stipulated by CAMO.320, M.710, and M.901.",Absence of man-hour planning.,"Huseynov, Mahammad",8/31/2023,4/7/2025,"CORRECTIVE ACTION PLAN
1) Required man-hour plan will be prepared up to 31.12.2023.
2) Necessary personnel will be employed up to 30.06.2024.
3) Mentioned entities will be audited in 2024 in accordance with the annual Audit Plan.
4) Noted checklist will be duly amended in February 2024.","Huseynov, Mahammad",8/31/2023,,"1) The department will be supplied by enough human resources up to 30.06.2024.
2) Precise man-hour plan will be prepared to enhance control over the process of duty sharing up to 31.12.2023.","Huseynov, Mahammad",8/31/2023,,None,None,None,None,"Accepted. However, the proposed deadlines are against the applicable requirements of the regulation. The initial deadline may be up to 3 months after CAP acceptance. The deadline may be extend up to 6 months (maximum). Therefore the initial deadline for all actions will be set at 3 months from CAP acceptance date.","Yusifli, Fuad",8/31/2023,9/5/2023,Evidence documents have been submitted,"Nasirov, Namig",10/15/2024,10/15/2024,
